ge,du
5830,76
55810,76
81567,76
5876,76
8508,76
2735,76
9114,76
6720,76
5531,76
27043,76
3791,76
2516,76
10648,76
5309,76
3028,76
1977,76
10640,76
91445,76
55536,76
25793,76
30012,76
10018,76
3852,76
4255,76
58524,75
9632,75
55704,75
57088,75
5318,75
51386,75
11275,75
83897,75
54915,75
56159,75
9282,75
79165,75
80232,75
10010,75
23405,75
84246,75
145483,75
5351,75
91147,75
6275,75
6748,75
9915,75
5795,75
10474,75
83606,75
1659,75
6390,75
3727,75
659,75
7015,75
56850,75
6647,75
2308,75
90957,75
54940,75
386674,75
26058,74
8518,74
124995,74
2071,74
65258,74
284106,74
7090,74
10134,74
150684,74
10422,74
84661,74
8192,74
7538,74
57761,74
10891,74
8773,74
23309,74
81608,74
7155,74
3084,74
348,74
284467,74
23244,74
10127,74
337972,74
1018,74
23076,74
9457,74
55226,74
23077,74
64682,74
4221,74
572,74
9140,74
25998,74
5602,74
7549,74
5955,74
23765,74
9101,74
5997,73
2844,73
2059,73
11065,73
55705,73
7750,73
5588,73
2177,73
10573,73
26155,73
51194,73
9738,73
9410,73
55072,73
55212,73
8798,73
121457,73
5981,73
5917,73
23326,73
30968,73
6830,73
55257,73
10458,73
8500,73
9908,73
9097,73
1716,73
55968,73
274,73
10733,73
3614,73
5340,73
8662,73
2963,73
637,73
79139,73
6048,73
8021,73
1543,73
51699,73
7918,72
10190,72
11143,72
3437,72
211,72
673,72
8651,72
2202,72
8431,72
28998,72
4802,72
6949,72
6809,72
9731,72
64770,72
2358,72
10425,72
8815,72
10051,72
25777,72
55559,72
11004,72
84271,72
55644,72
129401,72
1295,72
55584,72
54069,72
55603,72
10625,72
29924,72
79171,72
5162,72
54927,72
103,72
57448,72
467,72
192669,72
126353,72
752,72
7916,72
10093,72
5908,71
5336,71
10207,71
51663,71
535,71
50855,71
28977,71
8099,71
1650,71
84248,71
7376,71
5493,71
4780,71
64837,71
65080,71
4776,71
6279,71
120379,71
114823,71
2314,71
5116,71
5435,71
83481,71
6897,71
8683,71
5125,71
51433,71
140735,71
6416,71
4140,71
4704,71
55929,71
79871,71
29128,71
10094,71
58533,71
4678,71
78999,71
246100,71
81929,71
51639,71
9601,71
9557,71
3796,71
84823,71
100526836,71
7113,71
5592,71
10226,70
4747,70
23521,70
10078,70
4090,70
57630,70
64708,70
10848,70
3835,70
3983,70
79026,70
997,70
8498,70
25852,70
118,70
84305,70
65265,70
5576,70
116225,70
353137,70
4676,70
1838,70
81603,70
338,70
3980,70
51013,70
51807,70
337879,70
9416,70
81857,70
56945,70
826,70
64976,70
8458,70
548593,70
5553,70
84324,70
134492,70
23170,70
51701,70
1738,70
8487,70
399693,70
3689,70
6917,70
8837,70
10153,70
81620,70
9862,70
3009,70
23499,70
64969,70
4893,70
1892,70
65018,70
221074,70
51079,70
165829,69
9414,69
23265,69
11073,69
8314,69
10627,69
8027,69
9693,69
5230,69
7059,69
80823,69
51081,69
5739,69
8575,69
148581,69
7026,69
10541,69
1612,69
161,69
8788,69
7345,69
27332,69
3336,69
64975,69
348093,69
5524,69
5716,69
83759,69
400916,69
1503,69
47,69
5577,69
6895,69
5089,69
79991,69
7419,69
23133,69
23400,69
91746,69
55800,69
7629,69
65123,69
84108,69
8882,69
8048,69
2267,69
1468,69
6311,69
2997,69
9276,69
353174,68
284695,68
11047,68
23,68
84991,68
6462,68
4205,68
51614,68
8260,68
10972,68
5048,68
54205,68
114571,68
375,68
10459,68
9482,68
7138,68
10912,68
5982,68
9815,68
10193,68
10617,68
224,68
10210,68
55850,68
4830,68
27111,68
5163,68
220004,68
25923,68
54059,68
2342,68
4656,68
23223,68
